Sanidad,Factor,Nivel,Prom,DE
HLB-,Ma-1,Mi-1,45560.223,6990.395
HLB+,Ma-1,Mi-1,53664.904,9666.102
HLB-,Ma-1,Mi-2,32764.491,6941.034
HLB+,Ma-1,Mi-2,57666.659,12865.922
HLB-,Ma-1,Mi-3,34367.566,8302.662
HLB+,Ma-1,Mi-3,58296.244,12281.141
HLB-,Ma-2,Mi-1,65710.13,16152.589
HLB+,Ma-2,Mi-1,65744.774,12328.535
HLB-,Ma-2,Mi-2,36425.958,8946.603
HLB+,Ma-2,Mi-2,64935.584,16514.239
HLB-,Ma-2,Mi-3,35042.553,9764.856
HLB+,Ma-2,Mi-3,65430.528,12127.149
HLB-,Ma-3,Mi-1,76361.094,23060.066
HLB+,Ma-3,Mi-1,61913.675,17425.356
HLB-,Ma-3,Mi-2,34969.267,7838.147
HLB+,Ma-3,Mi-2,72209.377,14568.18
HLB-,Ma-3,Mi-3,45765.071,6004.596
HLB+,Ma-3,Mi-3,77077.596,12711.58
