Sanidad,Factor,BA
HLB+,0,46679.55533
HLB+,0,50177.4612
HLB+,0,48567.54114
HLB+,0,73210.42398
HLB+,0,64436.90922
HLB+,0,60997.12311
HLB+,0,54404.44498
HLB+,0,42398.84445
HLB+,0,49879.43312
HLB+,0,45897.30571
HLB+,0,79749.29816
HLB+,0,47911.71288
HLB+,0,74007.8165
HLB+,0,57380.89258
HLB+,0,59891.25385
HLB+,0,46823.0905
HLB+,0,44888.83919
HLB+,0,43353.85245
HLB+,0,69152.02014
HLB+,0,53507.81247
HLB+,0,66407.75223
HLB+,0,50714.78528
HLB+,0,44799.67097
HLB+,0,53615.0753
HLB+,0,57144.95634
HLB+,0,63091.24428
HLB+,0,52170.62239
HLB+,0,42713.78822
HLB+,0,87374.55582
HLB+,0,59525.87945
HLB+,0,63700.3491
HLB+,1,89879.60004
HLB+,1,58564.66532
HLB+,1,50078.18063
HLB+,1,58200.99558
HLB+,1,63048.0018
HLB+,1,73988.58202
HLB+,1,77026.35287
HLB+,1,63709.98465
HLB+,1,57206.59996
HLB+,1,76814.16652
HLB+,1,74003.73295
HLB+,1,48116.7581
HLB+,1,47071.65159
HLB+,1,68472.69956
HLB+,1,36088.76809
HLB+,1,78206.12967
HLB+,1,79145.73742
HLB+,1,76500.61314
HLB+,1,72979.00465
HLB+,1,77629.81645
HLB+,1,53092.1445
HLB+,1,82065.95626
HLB+,1,48213.2492
HLB+,1,50492.78538
HLB+,1,68558.63684
HLB+,1,67917.3303
HLB+,1,67925.8269
HLB+,2,44057.497
HLB+,2,97974.91716
HLB+,2,48124.75661
HLB+,2,58318.70046
HLB+,2,72923.54786
HLB+,2,67128.5758
HLB+,2,51212.14542
HLB+,2,55569.26044
HLB+,2,80677.88677
HLB+,2,77965.83564
HLB+,2,75656.09126
HLB+,2,79393.11661
HLB+,2,55881.11825
HLB+,2,52646.51873
HLB+,2,47786.51888
HLB+,2,63927.45254
HLB+,2,86115.14616
HLB+,2,86361.51268
HLB+,2,87891.95106
HLB+,2,53187.63689
HLB+,2,69371.90321
HLB+,2,90139.80214
HLB+,2,86044.42839
HLB+,2,74112.54823
HLB+,2,82615.50899
HLB+,2,84071.34214
HLB-,0,36906.31886
HLB-,0,42041.29803
HLB-,0,50177.4612
HLB-,0,36286.81346
HLB-,0,53418.50945
HLB-,0,55261.87693
HLB-,0,49367.12712
HLB-,0,50276.47202
HLB-,0,43143.75194
HLB-,0,38722.60399
HLB-,0,18092.53371
HLB-,0,34135.89423
HLB-,0,33684.10549
HLB-,0,34172.50333
HLB-,0,42520.88607
HLB-,0,39384.80114
HLB-,0,33188.18965
HLB-,0,35489.69812
HLB-,0,32388.80103
HLB-,0,24587.50176
HLB-,0,33913.58439
HLB-,0,25615.9841
HLB-,0,51159.75658
HLB-,0,36500.20947
HLB-,0,38609.89497
HLB-,0,35141.10171
HLB-,0,40005.22778
HLB-,0,23141.03332
HLB-,0,25387.36038
HLB-,0,34201.509
HLB-,1,80327.47615
HLB-,1,44314.69754
HLB-,1,70697.07679
HLB-,1,79249.93916
HLB-,1,68108.49455
HLB-,1,54904.66434
HLB-,1,84270.78438
HLB-,1,43807.90633
HLB-,1,25172.57116
HLB-,1,28256.78058
HLB-,1,36714.04195
HLB-,1,25421.6063
HLB-,1,41052.28227
HLB-,1,49032.12598
HLB-,1,37261.76633
HLB-,1,30603.16684
HLB-,1,49297.86133
HLB-,1,41447.37777
HLB-,1,26070.66405
HLB-,1,20296.41661
HLB-,1,38783.55102
HLB-,1,37576.74094
HLB-,1,48035.37256
HLB-,1,35089.87111
HLB-,1,20357.46444
HLB-,1,47296.67079
HLB-,1,43206.91717
HLB-,1,30315.7679
HLB-,1,38438.65049
HLB-,2,3725.497763
HLB-,2,2503.846583
HLB-,2,4952.811761
HLB-,2,2010.866141
HLB-,2,2534.956765
HLB-,2,1751.665743
HLB-,2,3473.13108
HLB-,2,3865.040488
HLB-,2,4219.72933
HLB-,2,4032.855447
HLB-,2,1504.205395
HLB-,2,28420.09361
HLB-,2,40245.23646
HLB-,2,37006.31589
HLB-,2,26521.4532
HLB-,2,34920.99232
HLB-,2,49125.52639
HLB-,2,39791.50642
HLB-,2,23944.53882
HLB-,2,34747.73814
HLB-,2,38972.30391
HLB-,2,47223.49099
HLB-,2,39127.42989
HLB-,2,50495.83982
HLB-,2,45963.79115
HLB-,2,46810.78333
HLB-,2,58122.16148
HLB-,2,45163.98121
HLB-,2,47302.08929
HLB-,2,38468.84176
