Sanidad,Factor,BA
Sana,0,36906.31886
Sana,0,42041.29803
Sana,0,50177.4612
Sana,0,36286.81346
Sana,0,53418.50945
Sana,0,55261.87693
Sana,0,49367.12712
Sana,0,50276.47202
Sana,0,43143.75194
Sana,0,38722.60399
Sana,0,18092.53371
Sana,0,34135.89423
Sana,0,33684.10549
Sana,0,34172.50333
Sana,0,42520.88607
Sana,0,39384.80114
Sana,0,33188.18965
Sana,0,35489.69812
Sana,0,32388.80103
Sana,0,24587.50176
Sana,0,33913.58439
Sana,0,25615.9841
Sana,0,51159.75658
Sana,0,36500.20947
Sana,0,38609.89497
Sana,0,35141.10171
Sana,0,40005.22778
Sana,0,23141.03332
Sana,0,25387.36038
Sana,0,34201.509
Sana,1,80327.47615
Sana,1,44314.69754
Sana,1,70697.07679
Sana,1,79249.93916
Sana,1,68108.49455
Sana,1,54904.66434
Sana,1,84270.78438
Sana,1,43807.90633
Sana,1,25172.57116
Sana,1,28256.78058
Sana,1,36714.04195
Sana,1,25421.6063
Sana,1,41052.28227
Sana,1,49032.12598
Sana,1,37261.76633
Sana,1,30603.16684
Sana,1,49297.86133
Sana,1,41447.37777
Sana,1,26070.66405
Sana,1,20296.41661
Sana,1,38783.55102
Sana,1,37576.74094
Sana,1,48035.37256
Sana,1,35089.87111
Sana,1,20357.46444
Sana,1,47296.67079
Sana,1,43206.91717
Sana,1,30315.7679
Sana,1,38438.65049
Sana,2,3725.497763
Sana,2,2503.846583
Sana,2,4952.811761
Sana,2,2010.866141
Sana,2,2534.956765
Sana,2,1751.665743
Sana,2,3473.13108
Sana,2,3865.040488
Sana,2,4219.72933
Sana,2,4032.855447
Sana,2,1504.205395
Sana,2,28420.09361
Sana,2,40245.23646
Sana,2,37006.31589
Sana,2,26521.4532
Sana,2,34920.99232
Sana,2,49125.52639
Sana,2,39791.50642
Sana,2,23944.53882
Sana,2,34747.73814
Sana,2,38972.30391
Sana,2,47223.49099
Sana,2,39127.42989
Sana,2,50495.83982
Sana,2,45963.79115
Sana,2,46810.78333
Sana,2,58122.16148
Sana,2,45163.98121
Sana,2,47302.08929
Sana,2,38468.84176
