Sanidad,Factor,BA
HLB+,0,46679.55533
HLB+,0,50177.4612
HLB+,0,48567.54114
HLB+,0,73210.42398
HLB+,0,64436.90922
HLB+,0,60997.12311
HLB+,0,54404.44498
HLB+,0,42398.84445
HLB+,0,49879.43312
HLB+,0,45897.30571
HLB+,0,79749.29816
HLB+,0,47911.71288
HLB+,0,74007.8165
HLB+,0,57380.89258
HLB+,0,59891.25385
HLB+,0,46823.0905
HLB+,0,44888.83919
HLB+,0,43353.85245
HLB+,0,69152.02014
HLB+,0,53507.81247
HLB+,0,66407.75223
HLB+,0,50714.78528
HLB+,0,44799.67097
HLB+,0,53615.0753
HLB+,0,57144.95634
HLB+,0,63091.24428
HLB+,0,52170.62239
HLB+,0,42713.78822
HLB+,0,87374.55582
HLB+,0,59525.87945
HLB+,0,63700.3491
HLB+,1,89879.60004
HLB+,1,58564.66532
HLB+,1,50078.18063
HLB+,1,58200.99558
HLB+,1,63048.0018
HLB+,1,73988.58202
HLB+,1,77026.35287
HLB+,1,63709.98465
HLB+,1,57206.59996
HLB+,1,76814.16652
HLB+,1,74003.73295
HLB+,1,48116.7581
HLB+,1,47071.65159
HLB+,1,68472.69956
HLB+,1,36088.76809
HLB+,1,78206.12967
HLB+,1,79145.73742
HLB+,1,76500.61314
HLB+,1,72979.00465
HLB+,1,77629.81645
HLB+,1,53092.1445
HLB+,1,82065.95626
HLB+,1,48213.2492
HLB+,1,50492.78538
HLB+,1,68558.63684
HLB+,1,67917.3303
HLB+,1,67925.8269
HLB+,2,44057.497
HLB+,2,97974.91716
HLB+,2,48124.75661
HLB+,2,58318.70046
HLB+,2,72923.54786
HLB+,2,67128.5758
HLB+,2,51212.14542
HLB+,2,55569.26044
HLB+,2,80677.88677
HLB+,2,77965.83564
HLB+,2,75656.09126
HLB+,2,79393.11661
HLB+,2,55881.11825
HLB+,2,52646.51873
HLB+,2,47786.51888
HLB+,2,63927.45254
HLB+,2,86115.14616
HLB+,2,86361.51268
HLB+,2,87891.95106
HLB+,2,53187.63689
HLB+,2,69371.90321
HLB+,2,90139.80214
HLB+,2,86044.42839
HLB+,2,74112.54823
HLB+,2,82615.50899
HLB+,2,84071.34214
