Sanidad,Factor,BA
HLB-,0,36906.31886
HLB-,0,42041.29803
HLB-,0,50177.4612
HLB-,0,36286.81346
HLB-,0,53418.50945
HLB-,0,55261.87693
HLB-,0,49367.12712
HLB-,0,50276.47202
HLB-,0,43143.75194
HLB-,0,38722.60399
HLB-,0,80327.47615
HLB-,0,44314.69754
HLB-,0,70697.07679
HLB-,0,79249.93916
HLB-,0,68108.49455
HLB-,0,54904.66434
HLB-,0,84270.78438
HLB-,0,43807.90633
HLB-,0,53624.54857
HLB-,0,44489.22749
HLB-,0,92013.47294
HLB-,0,92569.06035
HLB-,0,88723.66502
HLB-,0,91882.25809
HLB-,0,86448.5337
HLB-,0,40444.91404
HLB-,1,18092.53371
HLB-,1,34135.89423
HLB-,1,33684.10549
HLB-,1,34172.50333
HLB-,1,42520.88607
HLB-,1,39384.80114
HLB-,1,33188.18965
HLB-,1,35489.69812
HLB-,1,32388.80103
HLB-,1,24587.50176
HLB-,1,25172.57116
HLB-,1,28256.78058
HLB-,1,36714.04195
HLB-,1,25421.6063
HLB-,1,41052.28227
HLB-,1,49032.12598
HLB-,1,37261.76633
HLB-,1,30603.16684
HLB-,1,49297.86133
HLB-,1,41447.37777
HLB-,1,28420.09361
HLB-,1,40245.23646
HLB-,1,37006.31589
HLB-,1,26521.4532
HLB-,1,34920.99232
HLB-,1,49125.52639
HLB-,1,39791.50642
HLB-,1,23944.53882
HLB-,1,34747.73814
HLB-,2,33913.58439
HLB-,2,25615.9841
HLB-,2,51159.75658
HLB-,2,36500.20947
HLB-,2,38609.89497
HLB-,2,35141.10171
HLB-,2,40005.22778
HLB-,2,23141.03332
HLB-,2,25387.36038
HLB-,2,34201.509
HLB-,2,26070.66405
HLB-,2,20296.41661
HLB-,2,38783.55102
HLB-,2,37576.74094
HLB-,2,48035.37256
HLB-,2,35089.87111
HLB-,2,20357.46444
HLB-,2,47296.67079
HLB-,2,43206.91717
HLB-,2,30315.7679
HLB-,2,38438.65049
HLB-,2,38972.30391
HLB-,2,47223.49099
HLB-,2,39127.42989
HLB-,2,50495.83982
HLB-,2,45963.79115
HLB-,2,46810.78333
HLB-,2,58122.16148
HLB-,2,45163.98121
HLB-,2,47302.08929
HLB-,2,38468.84176
