Sanidad,Factor,BA
HLB+,0,46679.55533
HLB+,0,50177.4612
HLB+,0,48567.54114
HLB+,0,73210.42398
HLB+,0,64436.90922
HLB+,0,60997.12311
HLB+,0,54404.44498
HLB+,0,42398.84445
HLB+,0,49879.43312
HLB+,0,45897.30571
HLB+,0,89879.60004
HLB+,0,58564.66532
HLB+,0,50078.18063
HLB+,0,58200.99558
HLB+,0,63048.0018
HLB+,0,73988.58202
HLB+,0,77026.35287
HLB+,0,63709.98465
HLB+,0,57206.59996
HLB+,0,44057.497
HLB+,0,97974.91716
HLB+,0,48124.75661
HLB+,0,58318.70046
HLB+,0,72923.54786
HLB+,0,67128.5758
HLB+,0,51212.14542
HLB+,0,55569.26044
HLB+,1,79749.29816
HLB+,1,47911.71288
HLB+,1,74007.8165
HLB+,1,57380.89258
HLB+,1,59891.25385
HLB+,1,46823.0905
HLB+,1,44888.83919
HLB+,1,43353.85245
HLB+,1,69152.02014
HLB+,1,53507.81247
HLB+,1,76814.16652
HLB+,1,74003.73295
HLB+,1,48116.7581
HLB+,1,47071.65159
HLB+,1,68472.69956
HLB+,1,36088.76809
HLB+,1,78206.12967
HLB+,1,79145.73742
HLB+,1,76500.61314
HLB+,1,80677.88677
HLB+,1,77965.83564
HLB+,1,75656.09126
HLB+,1,79393.11661
HLB+,1,55881.11825
HLB+,1,52646.51873
HLB+,1,47786.51888
HLB+,1,63927.45254
HLB+,1,86115.14616
HLB+,1,86361.51268
HLB+,1,87891.95106
HLB+,2,66407.75223
HLB+,2,50714.78528
HLB+,2,44799.67097
HLB+,2,53615.0753
HLB+,2,57144.95634
HLB+,2,63091.24428
HLB+,2,52170.62239
HLB+,2,42713.78822
HLB+,2,87374.55582
HLB+,2,59525.87945
HLB+,2,63700.3491
HLB+,2,72979.00465
HLB+,2,77629.81645
HLB+,2,53092.1445
HLB+,2,82065.95626
HLB+,2,48213.2492
HLB+,2,50492.78538
HLB+,2,68558.63684
HLB+,2,67917.3303
HLB+,2,67925.8269
HLB+,2,53187.63689
HLB+,2,69371.90321
HLB+,2,90139.80214
HLB+,2,86044.42839
HLB+,2,74112.54823
HLB+,2,82615.50899
HLB+,2,84071.34214
