Sanidad,Factor,Nivel,Prom,DE
HLB-,Ma-1,Mi-1,1.706,0.042
HLB+,Ma-1,Mi-1,1.338179688,0.124209506
HLB-,Ma-1,Mi-2,1.88,0.172
HLB+,Ma-1,Mi-2,1.193929938,0.152653719
HLB-,Ma-1,Mi-3,1.801,0.165
HLB+,Ma-1,Mi-3,1.188410083,0.146884492
HLB-,Ma-2,Mi-1,1.573,0.077
HLB+,Ma-2,Mi-1,1.188611833,0.14531973
HLB-,Ma-2,Mi-2,1.635,0.049
HLB+,Ma-2,Mi-2,1.13208125,0.088696003
HLB-,Ma-2,Mi-3,1.512,0.059
HLB+,Ma-2,Mi-3,0.972490917,0.134654323
HLB-,Ma-3,Mi-1,1.283,0.156
HLB+,Ma-3,Mi-1,1.1494979,0.136186919
HLB-,Ma-3,Mi-2,1.412,0.15
HLB+,Ma-3,Mi-2,1.19036,0.164058352
HLB-,Ma-3,Mi-3,1.371,0.15
HLB+,Ma-3,Mi-3,1.349713125,0.138869197
