Sanidad,Factor,VD
HLB+,0,1.858976481
HLB+,0,1.991773484
HLB+,0,1.724855163
HLB+,0,1.655440333
HLB+,0,1.556304265
HLB+,0,1.782319085
HLB+,0,1.320647482
HLB+,0,1.617077601
HLB+,0,1.61523839
HLB+,1,2.120490203
HLB+,1,1.791794281
HLB+,1,2.110399645
HLB+,1,1.574020795
HLB+,1,1.202855546
HLB+,1,1.245998746
HLB+,1,1.437285142
HLB+,1,1.486781311
HLB+,1,1.143377859
HLB+,2,1.912419286
HLB+,2,1.913115412
HLB+,2,1.145420291
HLB+,2,1.314081669
HLB+,2,1.303654306
HLB+,2,1.20102203
HLB+,2,1.120940944
HLB+,2,1.476337272
HLB+,2,1.540571918
HLB-,0,2.481365795
HLB-,0,2.453356205
HLB-,0,2.329772337
HLB-,0,2.318230884
HLB-,0,2.76051767
HLB-,0,2.479619065
HLB-,0,2.005726115
HLB-,0,2.22318819
HLB-,0,2.017565365
HLB-,1,2.727700614
HLB-,1,2.764764949
HLB-,1,2.738220393
HLB-,1,2.743054791
HLB-,1,1.908751795
HLB-,1,2.239114139
HLB-,1,1.97242738
HLB-,1,1.730893187
HLB-,1,2.27184071
HLB-,1,1.974615504
HLB-,2,2.532712629
HLB-,2,2.586139595
HLB-,2,3.050511861
HLB-,2,3.007198818
HLB-,2,2.677096376
HLB-,2,2.522441167
HLB-,2,2.380450403
HLB-,2,2.321610722
HLB-,2,2.127945874
HLB-,2,2.301084293
