Sanidad,Factor,VD
HLB+,0,1.858976481
HLB+,0,1.991773484
HLB+,0,1.724855163
HLB+,0,2.120490203
HLB+,0,1.791794281
HLB+,0,2.110399645
HLB+,0,1.912419286
HLB+,0,1.913115412
HLB+,0,1.145420291
HLB+,1,1.655440333
HLB+,1,1.556304265
HLB+,1,1.782319085
HLB+,1,1.574020795
HLB+,1,1.202855546
HLB+,1,1.245998746
HLB+,1,1.314081669
HLB+,1,1.303654306
HLB+,1,1.20102203
HLB+,2,1.320647482
HLB+,2,1.617077601
HLB+,2,1.61523839
HLB+,2,1.437285142
HLB+,2,1.486781311
HLB+,2,1.143377859
HLB+,2,1.120940944
HLB+,2,1.476337272
HLB+,2,1.540571918
