Sanidad,Factor,VD
HLB-,0,2.481365795
HLB-,0,2.453356205
HLB-,0,2.329772337
HLB-,0,2.318230884
HLB-,0,2.76051767
HLB-,0,2.479619065
HLB-,0,2.005726115
HLB-,0,2.22318819
HLB-,0,2.017565365
HLB-,1,2.727700614
HLB-,1,2.764764949
HLB-,1,2.738220393
HLB-,1,2.743054791
HLB-,1,1.908751795
HLB-,1,2.239114139
HLB-,1,1.97242738
HLB-,1,1.730893187
HLB-,1,2.27184071
HLB-,1,1.974615504
HLB-,2,2.532712629
HLB-,2,2.586139595
HLB-,2,3.050511861
HLB-,2,3.007198818
HLB-,2,2.677096376
HLB-,2,2.522441167
HLB-,2,2.380450403
HLB-,2,2.321610722
HLB-,2,2.127945874
HLB-,2,2.301084293
