Sanidad,Factor,VD
Enferma,0,1.858976481
Enferma,0,1.991773484
Enferma,0,1.724855163
Enferma,0,1.655440333
Enferma,0,1.556304265
Enferma,0,1.782319085
Enferma,0,1.320647482
Enferma,0,1.617077601
Enferma,0,1.61523839
Enferma,1,2.120490203
Enferma,1,1.791794281
Enferma,1,2.110399645
Enferma,1,1.574020795
Enferma,1,1.202855546
Enferma,1,1.245998746
Enferma,1,1.437285142
Enferma,1,1.486781311
Enferma,1,1.143377859
Enferma,2,1.912419286
Enferma,2,1.913115412
Enferma,2,1.145420291
Enferma,2,1.314081669
Enferma,2,1.303654306
Enferma,2,1.20102203
Enferma,2,1.120940944
Enferma,2,1.476337272
Enferma,2,1.540571918
