Sanidad,Factor,Alt
HLB+,0,103
HLB+,0,120
HLB+,0,116
HLB+,0,135.5
HLB+,0,132
HLB+,0,84
HLB+,0,111.5
HLB+,0,123
HLB+,0,92.5
HLB+,0,107.5
HLB+,0,83
HLB+,0,105.5
HLB+,1,138
HLB+,1,153
HLB+,1,107
HLB+,1,135
HLB+,1,124
HLB+,1,100
HLB+,1,86
HLB+,1,128
HLB+,1,98
HLB+,1,97
HLB+,1,83
HLB+,1,92
HLB+,2,115
HLB+,2,134
HLB+,2,68.5
HLB+,2,105.5
HLB+,2,119
HLB+,2,120
HLB+,2,65
HLB+,2,106
HLB+,2,96.5
HLB+,2,110.6
HLB+,2,121
HLB-,0,143
HLB-,0,144
HLB-,0,133
HLB-,0,129.5
HLB-,0,159
HLB-,0,151
HLB-,0,130
HLB-,0,118.5
HLB-,0,125.5
HLB-,0,132.5
HLB-,1,151
HLB-,1,159
HLB-,1,136
HLB-,1,119.5
HLB-,1,112
HLB-,1,134
HLB-,1,118.5
HLB-,1,119
HLB-,1,111
HLB-,2,137.5
HLB-,2,159
HLB-,2,140.5
HLB-,2,144
HLB-,2,136
HLB-,2,140
HLB-,2,114.5
HLB-,2,102
HLB-,2,107
