Sanidad,Factor,Nivel,Prom,DE
HLB-,Ma-1,Mi-1,0.794428571,0.009466734
HLB+,Ma-1,Mi-1,0.7995,0.0137659
HLB-,Ma-1,Mi-2,0.7835,0.016195237
HLB+,Ma-1,Mi-2,0.791428571,0.00984644
HLB-,Ma-1,Mi-3,0.783833333,0.021008728
HLB+,Ma-1,Mi-3,0.797333333,0.013995237
HLB-,Ma-2,Mi-1,0.796166667,0.015038839
HLB+,Ma-2,Mi-1,0.791285714,0.014761598
HLB-,Ma-2,Mi-2,0.794625,0.013211872
HLB+,Ma-2,Mi-2,0.801142857,0.005580579
HLB-,Ma-2,Mi-3,0.792875,0.018318121
HLB+,Ma-2,Mi-3,0.789666667,0.010670833
HLB-,Ma-3,Mi-1,0.7845,0.027134585
HLB+,Ma-3,Mi-1,0.802857143,0.007174691
HLB-,Ma-3,Mi-2,0.7935,0.012130246
HLB+,Ma-3,Mi-2,0.792333333,0.011587349
HLB-,Ma-3,Mi-3,0.79775,0.010898886
HLB+,Ma-3,Mi-3,0.786333333,0.008891944
