Ht,CV,TD,St,Chl,Fvfm,BA,tCA,SA,Glc,Suc,Refl550,Refl790
103,1.86,13.99,0.88,1.42,0.782,48428.51,1002.57,625.07,2.07,3.407590997,9.79,61.99
120,1.99,14.38,0.26,1.15,0.783,60888.98,1257.79,676.43,3.327,6.51800836,8.59,62.48
116,1.72,13.93,0.37,1.42,0.793,59946.16,1034.04,747.38,1.783,7.092544051,11.02,64.32
135.5,2.24,14.41,0.16,1.36,0.771,46058.53,793.7,493.87,3.056,5.507618006,10.36,64.54
138,2.12,12.61,1.18,1.37,0.776,67222.94,1420.48,559.92,1.883,3.962315113,9.36,60.258
153,1.79,12.71,0.08,1.27,0.779,54698.41,1050.24,807.94,1.1,0.376419936,10.12,67.427
107,2.11,11.41,0.09,1.01,0.798,52464.9,892.69,989.08,5.006,11.47090225,10.95,62.218
135,1.61,15.57,0.36,1.12,0.79,53507.81,1037.42,826.35,3.567,5.289690675,10.27,63.806
115,1.91,16.38,0.53,1.1,0.777,53974.07,1328.98,717.03,3.791,7.40952926,10.4,60.48
134,1.91,14.94,0.55,1.37,0.797,57950.43,1388.38,583.59,2.701,3.585895177,11.56,62.7
68.5,1.13,13.2,0.82,1.1,0.791,47442.21,918.08,838.73,2.086,2.793432154,10.68,64.33
105.5,1.15,9.97,0.15,1.66,0.789,70200.26,855.25,889.16,4.751,8.003876527,8.99,63.87
132,1.66,10.48,1.24,1.01,0.799,66174.15,1146.99,576,4.928,9.767106752,8.81,62.44
84,1.56,14.44,0.4,1.24,0.788,65079.19,1015.96,774.25,1.048,0.475477814,9.85,64.25
111.5,1,11.56,0.28,1.31,0.751,70368.17,1215.89,937.72,4.422,7.964253376,8.83,63.72
123,1.78,11.08,0.12,1.03,0.786,57206.6,850.15,968.96,2.159,3.229286817,11.19,66.57
124,1.57,11.56,0.8,1.06,0.788,66311.55,1298.25,1023.22,5.006,10.08409196,8.405,61.15
100,1.2,8.38,0.19,1.21,0.794,47071.65,967.64,827.16,5.919,9.985034084,10.363,61.65
86,1.25,12.03,0.15,1.16,0.779,52280.73,1232.24,534.16,9.663,17.63230225,10.323,64.83
128,1.7,11.76,1.18,1.1,0.794,77950.83,1701.08,506.44,2.383,1.901911254,9.497,62.92
119,1.92,9.9,0.55,0.84,0.783,67900.32,1376.63,976.78,3.708,7.647268167,9.83,60.45
120,1.31,9.91,0.46,1.23,0.779,65139.6,1573.48,724.16,4.923,7.766137621,9.36,63.36
65,1.3,11.94,0.24,0.97,0.77,50492.79,1380.94,989.22,5.225,7.964253376,10.87,65.68
106,1.2,9.46,0.34,1.11,0.771,68133.93,853.46,594.92,3.786,15.13604373,10.41,64.91
