Sanidad,w.length,promedio
Enfermas,450.089,4.223691589
Enfermas,450.553,4.21364486
Enfermas,451.017,4.204439252
Enfermas,451.48,4.193364486
Enfermas,451.944,4.184065421
Enfermas,452.408,4.17771028
Enfermas,452.872,4.170841121
Enfermas,453.335,4.166401869
Enfermas,453.799,4.156588785
Enfermas,454.263,4.143831776
Enfermas,454.727,4.138130841
Enfermas,455.191,4.137990654
Enfermas,455.655,4.131495327
Enfermas,456.119,4.127850467
Enfermas,456.583,4.123224299
Enfermas,457.047,4.122336449
Enfermas,457.511,4.121635514
Enfermas,457.975,4.121261682
Enfermas,458.439,4.117196262
Enfermas,458.904,4.116682243
Enfermas,459.368,4.116962617
Enfermas,459.832,4.116401869
Enfermas,460.296,4.122009346
Enfermas,460.761,4.12088785
Enfermas,461.225,4.122102804
Enfermas,461.689,4.117897196
Enfermas,462.154,4.116448598
Enfermas,462.618,4.113130841
Enfermas,463.083,4.106308411
Enfermas,463.547,4.108878505
Enfermas,464.012,4.103738318
Enfermas,464.476,4.097897196
Enfermas,464.941,4.092663551
Enfermas,465.406,4.084859813
Enfermas,465.87,4.075514019
Enfermas,466.335,4.07228972
Enfermas,466.8,4.066728972
Enfermas,467.265,4.057429907
Enfermas,467.729,4.050654206
Enfermas,468.194,4.040560748
Enfermas,468.659,4.037383178
Enfermas,469.124,4.032196262
Enfermas,469.589,4.02588785
Enfermas,470.054,4.029813084
Enfermas,470.519,4.025373832
Enfermas,470.984,4.022897196
Enfermas,471.449,4.023551402
Enfermas,471.914,4.022616822
Enfermas,472.379,4.016682243
Enfermas,472.845,4.00588785
Enfermas,473.31,4.006542056
Enfermas,473.775,4.005373832
Enfermas,474.24,3.996728972
Enfermas,474.706,3.998691589
Enfermas,475.171,3.997009346
Enfermas,475.636,3.996682243
Enfermas,476.102,3.994065421
Enfermas,476.567,3.986495327
Enfermas,477.033,3.982663551
Enfermas,477.498,3.983271028
Enfermas,477.964,3.976869159
Enfermas,478.429,3.970186916
Enfermas,478.895,3.958925234
Enfermas,479.36,3.955654206
Enfermas,479.826,3.953598131
Enfermas,480.292,3.944953271
Enfermas,480.757,3.940140187
Enfermas,481.223,3.934719626
Enfermas,481.689,3.926682243
Enfermas,482.155,3.922943925
Enfermas,482.621,3.919345794
Enfermas,483.087,3.915514019
Enfermas,483.553,3.912102804
Enfermas,484.019,3.907009346
Enfermas,484.485,3.904672897
Enfermas,484.951,3.909859813
Enfermas,485.417,3.909859813
Enfermas,485.883,3.911308411
Enfermas,486.349,3.91411215
Enfermas,486.815,3.916962617
Enfermas,487.281,3.915747664
Enfermas,487.747,3.912990654
Enfermas,488.214,3.917990654
Enfermas,488.68,3.919252336
Enfermas,489.146,3.916028037
Enfermas,489.613,3.912943925
Enfermas,490.079,3.914766355
Enfermas,490.546,3.916542056
Enfermas,491.012,3.916728972
Enfermas,491.478,3.922056075
Enfermas,491.945,3.932383178
Enfermas,492.412,3.938037383
Enfermas,492.878,3.941542056
Enfermas,493.345,3.950233645
Enfermas,493.811,3.953271028
Enfermas,494.278,3.95911215
Enfermas,494.745,3.963130841
Enfermas,495.212,3.971261682
Enfermas,495.678,3.980934579
Enfermas,496.145,3.989345794
Enfermas,496.612,4
Enfermas,497.079,4.010607477
Enfermas,497.546,4.022429907
Enfermas,498.013,4.037850467
Enfermas,498.48,4.049953271
Enfermas,498.947,4.064392523
Enfermas,499.414,4.08453271
Enfermas,499.881,4.102897196
Enfermas,500.348,4.121588785
Enfermas,500.815,4.14453271
Enfermas,501.283,4.169065421
Enfermas,501.75,4.195186916
Enfermas,502.217,4.219719626
Enfermas,502.684,4.248457944
Enfermas,503.152,4.276915888
Enfermas,503.619,4.306962617
Enfermas,504.087,4.336448598
Enfermas,504.554,4.366401869
Enfermas,505.021,4.398317757
Enfermas,505.489,4.433224299
Enfermas,505.957,4.469345794
Enfermas,506.424,4.509859813
Enfermas,506.892,4.551308411
Enfermas,507.359,4.593971963
Enfermas,507.827,4.640607477
Enfermas,508.295,4.689439252
Enfermas,508.762,4.743224299
Enfermas,509.23,4.791869159
Enfermas,509.698,4.84453271
Enfermas,510.166,4.901495327
Enfermas,510.634,4.960280374
Enfermas,511.102,5.020140187
Enfermas,511.57,5.081121495
Enfermas,512.038,5.145934579
