Sanidad,Factor,Nivel,Prom,DE
HLB-,Ma-1,Mi-1,7.468571429,1.137650042
HLB+,Ma-1,Mi-1,8.19125,2.256453839
HLB-,Ma-1,Mi-2,7.33125,0.643815357
HLB+,Ma-1,Mi-2,10.08375,2.809244624
HLB-,Ma-1,Mi-3,7.335,1.863675324
HLB+,Ma-1,Mi-3,10.58875,2.250228163
HLB-,Ma-2,Mi-1,7.906666667,1.215033607
HLB+,Ma-2,Mi-1,10.12,2.604786802
HLB-,Ma-2,Mi-2,7.31875,1.188088952
HLB+,Ma-2,Mi-2,10.36375,1.762724656
HLB-,Ma-2,Mi-3,8.39375,1.520318928
HLB+,Ma-2,Mi-3,8.8375,1.657896688
HLB-,Ma-3,Mi-1,9.005,1.57422997
HLB+,Ma-3,Mi-1,10.07875,2.372475726
HLB-,Ma-3,Mi-2,8.695,1.404747054
HLB+,Ma-3,Mi-2,9.5275,1.89695056
HLB-,Ma-3,Mi-3,8.602857143,1.244383573
HLB+,Ma-3,Mi-3,9.335,2.0504024
