Sanidad,Factor,Nivel,Prom,DE
HLB-,Ma-1,Mi-1,9.4,1.9
HLB+,Ma-1,Mi-1,10.1,1.4
HLB-,Ma-1,Mi-2,9.4,0.9
HLB+,Ma-1,Mi-2,10.7,1.5
HLB-,Ma-1,Mi-3,9.85,0.66
HLB+,Ma-1,Mi-3,9.72,1.16
HLB-,Ma-2,Mi-1,9.13,1.8
HLB+,Ma-2,Mi-1,10.08,1.8
HLB-,Ma-2,Mi-2,9.05,0.63
HLB+,Ma-2,Mi-2,10,2.03
HLB-,Ma-2,Mi-3,10.13375,1.642636709
HLB+,Ma-2,Mi-3,10.4125,1.82983801
HLB-,Ma-3,Mi-1,9.98,1.997562801
HLB+,Ma-3,Mi-1,10.25,2.06
HLB-,Ma-3,Mi-2,10.1175,1.952476449
HLB+,Ma-3,Mi-2,10.2075,1.992806707
HLB-,Ma-3,Mi-3,9.05,1.629574879
HLB+,Ma-3,Mi-3,10.22875,1.616605239
