Sanidad,Factor,Nivel,Prom,DE
HLB-,Ma-1,Mi-1,67.3575,3.609977246
HLB+,Ma-1,Mi-1,65.60571429,3.083314543
HLB-,Ma-1,Mi-2,64.8575,3.410352935
HLB+,Ma-1,Mi-2,63.10857143,3.565045248
HLB-,Ma-1,Mi-3,63.965,3.70967461
HLB+,Ma-1,Mi-3,62.11857143,4.938803595
HLB-,Ma-2,Mi-1,64.725,3.03311556
HLB+,Ma-2,Mi-1,67.37125,3.644367229
HLB-,Ma-2,Mi-2,65.66166667,2.475927436
HLB+,Ma-2,Mi-2,64.075,3.421411572
HLB-,Ma-2,Mi-3,66.61571429,3.908093555
HLB+,Ma-2,Mi-3,65.63,3.569741887
HLB-,Ma-3,Mi-1,67.00142857,6.179227105
HLB+,Ma-3,Mi-1,63.6,4.124934632
HLB-,Ma-3,Mi-2,68.23125,3.329510635
HLB+,Ma-3,Mi-2,62.44375,3.730200828
HLB-,Ma-3,Mi-3,65.18875,4.420163014
HLB+,Ma-3,Mi-3,64.8225,3.908546496
