Sanidad,sub,w.length,prom
HLB+,1,780.425,59.78571429
HLB+,1,780.915,59.78857143
HLB+,1,781.405,59.79285714
HLB+,1,781.894,59.79571429
HLB+,1,782.384,59.79857143
HLB+,1,782.874,59.80142857
HLB+,1,783.364,59.80285714
HLB+,1,783.854,59.80714286
HLB+,1,784.344,59.81
HLB+,1,784.834,59.81428571
HLB+,1,785.324,59.81571429
HLB+,1,785.814,59.81857143
HLB+,1,786.304,59.82142857
HLB+,1,786.794,59.82285714
HLB+,1,787.285,59.82428571
HLB+,1,787.775,59.82714286
HLB+,1,788.265,59.83142857
HLB+,1,788.756,59.83285714
HLB+,1,789.246,59.83428571
HLB+,1,789.736,59.83571429
HLB+,1,790.227,59.83714286
HLB+,1,790.717,59.84
HLB+,1,791.208,59.84285714
HLB+,1,791.699,59.84285714
HLB+,1,792.189,59.84714286
HLB+,1,792.68,59.84857143
HLB+,1,793.171,59.84714286
HLB+,1,793.662,59.85
HLB+,1,794.152,59.85285714
HLB+,1,794.643,59.85285714
HLB+,1,795.134,59.85571429
HLB+,1,795.625,59.85714286
HLB+,1,796.116,59.85714286
HLB+,1,796.607,59.86
HLB+,1,797.098,59.86
HLB+,1,797.59,59.86142857
HLB+,1,798.081,59.86285714
HLB+,1,798.572,59.86285714
HLB+,1,799.063,59.86571429
HLB+,1,799.555,59.86571429
HLB+,1,800.046,59.86571429
HLB+,1,800.537,59.86714286
HLB+,2,780.425,65.37142857
HLB+,2,780.915,65.38571429
HLB+,2,781.405,65.39428571
HLB+,2,781.894,65.40714286
HLB+,2,782.384,65.41857143
HLB+,2,782.874,65.43142857
HLB+,2,783.364,65.44571429
HLB+,2,783.854,65.45571429
HLB+,2,784.344,65.46714286
HLB+,2,784.834,65.47857143
HLB+,2,785.324,65.49142857
HLB+,2,785.814,65.50428571
HLB+,2,786.304,65.51428571
HLB+,2,786.794,65.52571429
HLB+,2,787.285,65.54
HLB+,2,787.775,65.55
HLB+,2,788.265,65.56142857
HLB+,2,788.756,65.57285714
HLB+,2,789.246,65.58285714
HLB+,2,789.736,65.59285714
HLB+,2,790.227,65.60571429
HLB+,2,790.717,65.61714286
HLB+,2,791.208,65.62714286
HLB+,2,791.699,65.63857143
HLB+,2,792.189,65.64857143
HLB+,2,792.68,65.65571429
HLB+,2,793.171,65.66571429
HLB+,2,793.662,65.67571429
HLB+,2,794.152,65.68571429
HLB+,2,794.643,65.69571429
HLB+,2,795.134,65.70428571
HLB+,2,795.625,65.71285714
HLB+,2,796.116,65.72
HLB+,2,796.607,65.73142857
HLB+,2,797.098,65.73571429
HLB+,2,797.59,65.74428571
HLB+,2,798.081,65.75428571
HLB+,2,798.572,65.76142857
HLB+,2,799.063,65.77
HLB+,2,799.555,65.77857143
HLB+,2,800.046,65.78714286
HLB+,2,800.537,65.79285714
HLB+,3,780.425,64.17125
HLB+,3,780.915,64.185
HLB+,3,781.405,64.19625
HLB+,3,781.894,64.21125
HLB+,3,782.384,64.2275
HLB+,3,782.874,64.2425
HLB+,3,783.364,64.255
HLB+,3,783.854,64.26875
HLB+,3,784.344,64.2825
HLB+,3,784.834,64.2975
HLB+,3,785.324,64.30875
HLB+,3,785.814,64.32375
HLB+,3,786.304,64.3375
HLB+,3,786.794,64.35
HLB+,3,787.285,64.3675
HLB+,3,787.775,64.38
HLB+,3,788.265,64.395
HLB+,3,788.756,64.405
HLB+,3,789.246,64.41875
HLB+,3,789.736,64.4325
HLB+,3,790.227,64.44625
HLB+,3,790.717,64.46
HLB+,3,791.208,64.4725
HLB+,3,791.699,64.48375
HLB+,3,792.189,64.49625
HLB+,3,792.68,64.5075
HLB+,3,793.171,64.51625
HLB+,3,793.662,64.5275
HLB+,3,794.152,64.53625
HLB+,3,794.643,64.5475
