Sanidad,Factor,Nivel,Prom,DE
HLB-,Ma-1,Mi-1,407.4038316,75.543484
HLB+,Ma-1,Mi-1,632.6742094,193.7120045
HLB-,Ma-1,Mi-2,374.6160898,39.79566141
HLB+,Ma-1,Mi-2,791.5591522,245.6858416
HLB-,Ma-1,Mi-3,369.8750448,84.38583437
HLB+,Ma-1,Mi-3,757.125096,239.883277
HLB-,Ma-2,Mi-1,423.8628498,78.23914966
HLB+,Ma-2,Mi-1,825.7064204,272.3750868
HLB-,Ma-2,Mi-2,389.3727435,60.67152711
HLB+,Ma-2,Mi-2,787.3415042,260.7700805
HLB-,Ma-2,Mi-3,412.7287438,75.54919498
HLB+,Ma-2,Mi-3,827.1094514,278.3546172
HLB-,Ma-3,Mi-1,763.4741033,197.7239546
HLB+,Ma-3,Mi-1,902.0965723,311.1592254
HLB-,Ma-3,Mi-2,408.656515,99.04862324
HLB+,Ma-3,Mi-2,801.163651,187.5879683
HLB-,Ma-3,Mi-3,478.8046757,153.9301722
HLB+,Ma-3,Mi-3,566.7226956,138.451823
