Sanidad,Factor,SA
HLB+,0,781.4526061
HLB+,0,468.6925928
HLB+,0,449.8704273
HLB+,0,902.9850737
HLB+,0,763.5274407
HLB+,0,930.880931
HLB+,0,547.720045
HLB+,0,470.78341
HLB+,0,433.5005388
HLB+,0,577.3290286
HLB+,0,774.0131715
HLB+,0,418.5562571
HLB+,0,487.1850916
HLB+,0,586.3363231
HLB+,0,1029.547709
HLB+,0,1181.956069
HLB+,0,792.6368793
HLB+,0,992.6500585
HLB+,0,918.9462227
HLB+,0,733.7637405
HLB+,0,575.6039146
HLB+,0,647.8677466
HLB+,0,927.6157614
HLB+,0,582.1087483
HLB+,0,496.5835545
HLB+,0,672.0732327
HLB+,0,519.94487
HLB+,0,1291.313757
HLB+,0,704.9215551
HLB+,0,1052.60994
HLB+,0,716.396676
HLB+,0,898.4613957
HLB+,1,676.1793239
HLB+,1,475.8189782
HLB+,1,536.8077965
HLB+,1,638.3122855
HLB+,1,1147.632921
HLB+,1,727.5752072
HLB+,1,1147.860763
HLB+,1,1257.168569
HLB+,1,801.1447485
HLB+,1,848.5636112
HLB+,1,1022.385693
HLB+,1,899.2638598
HLB+,1,1148.011363
HLB+,1,999.1483498
HLB+,1,655.1728072
HLB+,1,468.1674231
HLB+,1,600.143639
HLB+,1,506.438899
HLB+,1,950.2154379
HLB+,1,627.9462235
HLB+,1,1352.177625
HLB+,1,608.0176314
HLB+,1,599.8551976
HLB+,1,964.6112822
HLB+,1,1187.511062
HLB+,1,790.9221589
HLB+,1,526.9564644
HLB+,1,662.8814311
HLB+,2,730.1592727
HLB+,2,1265.426122
HLB+,2,513.1845182
HLB+,2,1182.131121
HLB+,2,796.0313446
HLB+,2,745.027771
HLB+,2,969.4263489
HLB+,2,1368.891775
HLB+,2,548.5908772
HLB+,2,900.2945016
HLB+,2,924.3746531
HLB+,2,1081.811236
HLB+,2,697.7377228
HLB+,2,869.0014269
HLB+,2,588.3165674
HLB+,2,516.4824695
HLB+,2,831.2906307
HLB+,2,664.6891226
HLB+,2,716.1465945
HLB+,2,567.9595645
HLB+,2,729.375576
HLB+,2,606.2609693
HLB+,2,351.4288648
HLB+,2,457.6013677
HLB+,2,440.3195055
HLB-,0,384.6969317
HLB-,0,491.1336177
HLB-,0,468.6925928
HLB-,0,387.6857256
HLB-,0,318.4624146
HLB-,0,315.2852217
HLB-,0,423.7543996
HLB-,0,439.595401
HLB-,0,390.8714883
HLB-,0,406.3104817
HLB-,0,304.690647
HLB-,0,557.6670578
HLB-,0,774.0131715
HLB-,0,418.5562571
HLB-,0,487.1850916
HLB-,0,586.3363231
HLB-,0,1029.547709
HLB-,0,1181.956069
HLB-,0,792.6368793
HLB-,0,992.6500585
HLB-,0,918.9462227
HLB-,0,733.7637405
HLB-,0,593.8090564
HLB-,0,355.0416284
HLB-,0,404.5656382
HLB-,0,340.0233129
HLB-,0,305.1083345
HLB-,0,331.2793079
HLB-,0,331.443965
HLB-,0,343.0903184
HLB-,0,310.3153169
HLB-,0,384.0735691
HLB-,1,431.1374085
HLB-,1,423.5230391
HLB-,1,347.2518609
HLB-,1,391.6035433
HLB-,1,327.4868708
HLB-,1,412.3444982
HLB-,1,471.2416719
HLB-,1,412.4950519
HLB-,1,597.6817032
HLB-,1,466.8245508
HLB-,1,420.5078865
HLB-,1,400.4287889
HLB-,1,513.3464753
HLB-,1,310.2249964
HLB-,1,341.289553
HLB-,1,327.529692
HLB-,1,349.344115
HLB-,1,382.9077515
HLB-,1,373.6640787
HLB-,1,397.03229
HLB-,1,411.5626763
HLB-,1,422.9224811
HLB-,1,506.1708142
HLB-,1,464.0282061
HLB-,1,492.8085966
HLB-,1,396.4559433
HLB-,1,523.1809966
HLB-,1,438.4100782
HLB-,1,328.0669729
HLB-,1,321.724146
HLB-,1,339.2014065
HLB-,2,308.2126083
HLB-,2,912.323173
HLB-,2,981.3323834
HLB-,2,872.6732945
HLB-,2,905.1163762
HLB-,2,577.5024746
HLB-,2,866.675534
HLB-,2,691.08218
HLB-,2,498.2110869
HLB-,2,430.4152769
HLB-,2,899.4092538
HLB-,2,558.311352
HLB-,2,370.4107184
HLB-,2,568.7316749
HLB-,2,519.9650033
HLB-,2,509.7418458
HLB-,2,331.3831045
HLB-,2,323.8647986
HLB-,2,374.7246252
HLB-,2,346.4163341
HLB-,2,352.15283
HLB-,2,315.6216788
HLB-,2,332.5542143
HLB-,2,674.2527063
HLB-,2,601.9326562
HLB-,2,342.4400752
HLB-,2,348.6924704
HLB-,2,301.6494583
HLB-,2,375.0211611
HLB-,2,518.5647543
HLB-,2,453.9862335
HLB-,2,398.7287269
HLB-,2,790.238824
HLB-,2,461.3443666
