Sanidad,Factor,SA
HLB+,0,781.4526061
HLB+,0,468.6925928
HLB+,0,449.8704273
HLB+,0,902.9850737
HLB+,0,763.5274407
HLB+,0,930.880931
HLB+,0,547.720045
HLB+,0,470.78341
HLB+,0,433.5005388
HLB+,0,577.3290286
HLB+,0,774.0131715
HLB+,0,418.5562571
HLB+,0,487.1850916
HLB+,0,586.3363231
HLB+,0,1029.547709
HLB+,0,1181.956069
HLB+,0,792.6368793
HLB+,0,992.6500585
HLB+,0,918.9462227
HLB+,0,733.7637405
HLB+,0,575.6039146
HLB+,0,647.8677466
HLB+,0,927.6157614
HLB+,0,582.1087483
HLB+,0,496.5835545
HLB+,0,672.0732327
HLB+,0,519.94487
HLB+,0,1291.313757
HLB+,0,704.9215551
HLB+,0,1052.60994
HLB+,0,716.396676
HLB+,0,898.4613957
HLB+,1,676.1793239
HLB+,1,475.8189782
HLB+,1,536.8077965
HLB+,1,638.3122855
HLB+,1,1147.632921
HLB+,1,727.5752072
HLB+,1,1147.860763
HLB+,1,1257.168569
HLB+,1,801.1447485
HLB+,1,848.5636112
HLB+,1,1022.385693
HLB+,1,899.2638598
HLB+,1,1148.011363
HLB+,1,999.1483498
HLB+,1,655.1728072
HLB+,1,468.1674231
HLB+,1,600.143639
HLB+,1,506.438899
HLB+,1,950.2154379
HLB+,1,627.9462235
HLB+,1,1352.177625
HLB+,1,608.0176314
HLB+,1,599.8551976
HLB+,1,964.6112822
HLB+,1,1187.511062
HLB+,1,790.9221589
HLB+,1,526.9564644
HLB+,1,662.8814311
HLB+,2,730.1592727
HLB+,2,1265.426122
HLB+,2,513.1845182
HLB+,2,1182.131121
HLB+,2,796.0313446
HLB+,2,745.027771
HLB+,2,969.4263489
HLB+,2,1368.891775
HLB+,2,548.5908772
HLB+,2,900.2945016
HLB+,2,924.3746531
HLB+,2,1081.811236
HLB+,2,697.7377228
HLB+,2,869.0014269
HLB+,2,588.3165674
HLB+,2,516.4824695
HLB+,2,831.2906307
HLB+,2,664.6891226
HLB+,2,716.1465945
HLB+,2,567.9595645
HLB+,2,729.375576
HLB+,2,606.2609693
HLB+,2,351.4288648
HLB+,2,457.6013677
HLB+,2,440.3195055
