Sanidad,Factor,SA
HLB-,0,384.6969317
HLB-,0,491.1336177
HLB-,0,468.6925928
HLB-,0,387.6857256
HLB-,0,318.4624146
HLB-,0,315.2852217
HLB-,0,423.7543996
HLB-,0,439.595401
HLB-,0,390.8714883
HLB-,0,406.3104817
HLB-,0,304.690647
HLB-,0,557.6670578
HLB-,0,431.1374085
HLB-,0,423.5230391
HLB-,0,347.2518609
HLB-,0,391.6035433
HLB-,0,327.4868708
HLB-,0,412.3444982
HLB-,0,471.2416719
HLB-,0,412.4950519
HLB-,0,597.6817032
HLB-,0,912.323173
HLB-,0,981.3323834
HLB-,0,872.6732945
HLB-,0,905.1163762
HLB-,0,577.5024746
HLB-,0,866.675534
HLB-,0,691.08218
HLB-,0,498.2110869
HLB-,0,430.4152769
HLB-,0,899.4092538
HLB-,1,347.806056
HLB-,1,374.3334479
HLB-,1,412.3816977
HLB-,1,398.5030554
HLB-,1,413.459783
HLB-,1,340.0545346
HLB-,1,338.1934258
HLB-,1,461.4933257
HLB-,1,358.3636616
HLB-,1,354.7596121
HLB-,1,325.0606388
HLB-,1,370.9838389
HLB-,1,466.8245508
HLB-,1,420.5078865
HLB-,1,400.4287889
HLB-,1,513.3464753
HLB-,1,310.2249964
HLB-,1,341.289553
HLB-,1,327.529692
HLB-,1,349.344115
HLB-,1,382.9077515
HLB-,1,373.6640787
HLB-,1,397.03229
HLB-,1,558.311352
HLB-,1,370.4107184
HLB-,1,568.7316749
HLB-,1,519.9650033
HLB-,1,509.7418458
HLB-,1,331.3831045
HLB-,1,323.8647986
HLB-,1,374.7246252
HLB-,1,346.4163341
HLB-,1,352.15283
HLB-,1,315.6216788
HLB-,1,332.5542143
HLB-,2,593.8090564
HLB-,2,355.0416284
HLB-,2,404.5656382
HLB-,2,340.0233129
HLB-,2,305.1083345
HLB-,2,331.2793079
HLB-,2,331.443965
HLB-,2,343.0903184
HLB-,2,310.3153169
HLB-,2,384.0735691
HLB-,2,411.5626763
HLB-,2,422.9224811
HLB-,2,506.1708142
HLB-,2,464.0282061
HLB-,2,492.8085966
HLB-,2,396.4559433
HLB-,2,523.1809966
HLB-,2,438.4100782
HLB-,2,328.0669729
HLB-,2,321.724146
HLB-,2,339.2014065
HLB-,2,308.2126083
HLB-,2,674.2527063
HLB-,2,601.9326562
HLB-,2,342.4400752
HLB-,2,348.6924704
HLB-,2,301.6494583
HLB-,2,375.0211611
HLB-,2,518.5647543
HLB-,2,453.9862335
HLB-,2,398.7287269
HLB-,2,790.238824
HLB-,2,461.3443666
