Sanidad,Factor,Nivel,Prom,DE
HLB-,Ma-1,Mi-1,0.059229885,0.029745385
HLB+,Ma-1,Mi-1,0.266126437,0.107498122
HLB-,Ma-1,Mi-2,0.059632184,0.040278116
HLB+,Ma-1,Mi-2,0.174287356,0.143354855
HLB-,Ma-1,Mi-3,0.054574713,0.023699884
HLB+,Ma-1,Mi-3,0.579,0.101645499
HLB-,Ma-2,Mi-1,0.075206897,0.036356015
HLB+,Ma-2,Mi-1,0.301068966,0.137428611
HLB-,Ma-2,Mi-2,0.163827586,0.088145647
HLB+,Ma-2,Mi-2,0.240172414,0.162507404
HLB-,Ma-2,Mi-3,0.109057471,0.039715047
HLB+,Ma-2,Mi-3,0.346643678,0.104221802
HLB-,Ma-3,Mi-1,0.071356322,0.041403681
HLB+,Ma-3,Mi-1,0.38308046,0.122511844
HLB-,Ma-3,Mi-2,0.071011494,0.061893782
HLB+,Ma-3,Mi-2,0.65854023,0.17305009
HLB-,Ma-3,Mi-3,0.082965517,0.011348443
HLB+,Ma-3,Mi-3,0.724862069,0.141719523
