Sanidad,Factor,Alm
HLB-,0,0.045206897
HLB-,0,0.024862069
HLB-,0,0.031068966
HLB-,0,0.098310345
HLB-,0,0.074517241
HLB-,0,0.081413793
HLB-,0,0.052793103
HLB-,0,0.107275862
HLB-,0,0.054517241
HLB-,0,0.028310345
HLB-,0,0.123827586
HLB-,0,0.084517241
HLB-,0,0.043137931
HLB-,0,0.050034483
HLB-,0,0.04037931
HLB-,0,0.064517241
HLB-,0,0.15037931
HLB-,0,0.079689655
HLB-,1,0.081068966
HLB-,1,0.079
HLB-,1,0.102103448
HLB-,1,0.069
HLB-,1,0.327965517
HLB-,1,0.386586207
HLB-,1,0.527965517
HLB-,1,0.189344828
HLB-,1,0.18762069
HLB-,1,0.132793103
HLB-,1,0.163137931
HLB-,1,0.814172414
HLB-,1,0.80037931
HLB-,1,0.714517241
HLB-,1,0.741068966
HLB-,1,0.454862069
HLB-,1,0.426241379
HLB-,2,0.032448276
HLB-,2,0.038310345
HLB-,2,0.084172414
HLB-,2,0.03762069
HLB-,2,0.084172414
HLB-,2,0.050724138
HLB-,2,0.042448276
HLB-,2,0.111413793
HLB-,2,0.141068966
HLB-,2,0.107965517
HLB-,2,0.156241379
HLB-,2,0.095206897
HLB-,2,0.089
HLB-,2,0.087965517
HLB-,2,0.06762069
HLB-,2,0.075206897
HLB-,2,0.099344828
HLB-,2,0.078655172
