Sanidad,Factor,DT
HLB+,0,13.99
HLB+,0,14.38
HLB+,0,13.93
HLB+,0,14.41
HLB+,0,10.48
HLB+,0,11.56
HLB+,0,11.08
HLB+,0,10.48
HLB+,0,9.24
HLB+,0,10.17
HLB+,1,12.61
HLB+,1,12.71
HLB+,1,11.41
HLB+,1,11.56
HLB+,1,12.03
HLB+,1,11.76
HLB+,1,11.44
HLB+,1,11.05
HLB+,1,11.04
HLB+,1,10.19
HLB+,2,16.38
HLB+,2,14.94
HLB+,2,13.2
HLB+,2,9.9
HLB+,2,9.91
HLB+,2,9.46
HLB+,2,6.79
HLB+,2,12.38
HLB+,2,11.47
HLB-,0,11.64
HLB-,0,10.1
HLB-,0,9.95
HLB-,0,11.96
HLB-,0,12.49
HLB-,0,11.31
HLB-,0,9.84
HLB-,0,8.51
HLB-,0,7.77
HLB-,1,11
HLB-,1,11.87
HLB-,1,10.13
HLB-,1,7.84
HLB-,1,7.49
HLB-,1,5.43
HLB-,1,5.32
HLB-,1,7.38
HLB-,1,8.06
HLB-,2,13.51
HLB-,2,11.87
HLB-,2,11.44
HLB-,2,8.55
HLB-,2,8.59
HLB-,2,10.06
HLB-,2,7.22
HLB-,2,8.14
HLB-,2,8.67
HLB-,2,7.97
