Sanidad,Factor,Nivel,Prom,DE
HLB-,Ma-1,Mi-1,7.443,3.082
HLB+,Ma-1,Mi-1,5.631,1.621
HLB-,Ma-1,Mi-2,0.66,0.616
HLB+,Ma-1,Mi-2,6.908,4.007
HLB-,Ma-1,Mi-3,0.7,0.219
HLB+,Ma-1,Mi-3,5.448,2.639
HLB-,Ma-2,Mi-1,1.096,0.251
HLB+,Ma-2,Mi-1,6.987,3.377
HLB-,Ma-2,Mi-2,0.806,0.566
HLB+,Ma-2,Mi-2,12.567,4.387
HLB-,Ma-2,Mi-3,0.892,0.11
HLB+,Ma-2,Mi-3,7.793,0.16
HLB-,Ma-3,Mi-1,1.366,0.554
HLB+,Ma-3,Mi-1,6.102,1.071
HLB-,Ma-3,Mi-2,0.594,0.139
HLB+,Ma-3,Mi-2,3.995,1.52
HLB-,Ma-3,Mi-3,1.611,1.385
HLB+,Ma-3,Mi-3,6.419,1.599
