Sanidad,Factor,Sac
HLB-,0,10.36145402
HLB-,0,7.746326045
HLB-,0,4.219865595
HLB-,0,1.347187138
HLB-,0,0.158492605
HLB-,0,0.475477814
HLB-,0,0.495289389
HLB-,0,0.931144051
HLB-,0,0.673593569
HLB-,1,1.050013505
HLB-,1,0.871709325
HLB-,1,1.366998714
HLB-,1,0.673593569
HLB-,1,0.316985209
HLB-,1,1.426433441
HLB-,1,0.871709325
HLB-,1,0.792463023
HLB-,1,1.010390354
HLB-,2,1.862288103
HLB-,2,1.466056592
HLB-,2,0.768689132
HLB-,2,0.455666238
HLB-,2,0.594347267
HLB-,2,0.733028296
HLB-,2,3.209475241
HLB-,2,0.752839871
HLB-,2,0.871709325
