Sanidad,Factor,Sac
HLB+,0,6.51800836
HLB+,0,7.092544051
HLB+,0,5.507618006
HLB+,0,9.767106752
HLB+,0,7.964253376
HLB+,0,3.229286817
HLB+,0,5.210444373
HLB+,0,5.80479164
HLB+,0,7.290659807
HLB+,1,3.962315113
HLB+,1,11.47090225
HLB+,1,5.289690675
HLB+,1,10.08409196
HLB+,1,9.985034084
HLB+,1,17.63230225
HLB+,1,2.872678457
HLB+,1,5.725545338
HLB+,1,3.387779421
HLB+,2,7.40952926
HLB+,2,3.585895177
HLB+,2,2.793432154
HLB+,2,8.003876527
HLB+,2,7.647268167
HLB+,2,7.766137621
HLB+,2,7.964253376
HLB+,2,4.635908682
HLB+,2,6.894428296
HLB+,2,7.726514469
