Sanidad,Factor,Nivel,Prom,DE
HLB-,Ma-1,Mi-1,729.3239799,120.9816497
HLB+,Ma-1,Mi-1,1025.916342,220.7159848
HLB-,Ma-1,Mi-2,655.3422167,69.55119533
HLB+,Ma-1,Mi-2,1111.481203,257.0691497
HLB-,Ma-1,Mi-3,872.176975,204.1949419
HLB+,Ma-1,Mi-3,1163.588644,282.1440215
HLB-,Ma-2,Mi-1,815.81323,137.1566249
HLB+,Ma-2,Mi-1,1076.073555,279.2650089
HLB-,Ma-2,Mi-2,882.6884354,221.5550908
HLB+,Ma-2,Mi-2,1366.234526,398.2701223
HLB-,Ma-2,Mi-3,850.2561203,163.6062518
HLB+,Ma-2,Mi-3,1279.596556,355.6367287
HLB-,Ma-3,Mi-1,846.6470689,123.9920853
HLB+,Ma-3,Mi-1,1087.318634,245.1677317
HLB-,Ma-3,Mi-2,810.2908725,174.1312487
HLB+,Ma-3,Mi-2,1231.553553,210.5826018
HLB-,Ma-3,Mi-3,1012.454158,146.8557849
HLB+,Ma-3,Mi-3,1477.633121,341.7933335
