Sanidad,Factor,tca
HLB+,0,1002.569743
HLB+,0,1313.557661
HLB+,0,1290.559283
HLB+,0,1169.255385
HLB+,0,1097.874648
HLB+,0,1215.381749
HLB+,0,788.8767936
HLB+,0,766.660008
HLB+,0,854.3164133
HLB+,0,760.1117408
HLB+,0,1584.011519
HLB+,0,817.5486405
HLB+,0,1039.417412
HLB+,0,879.1700394
HLB+,0,875.3438831
HLB+,0,1293.362067
HLB+,0,1548.192015
HLB+,0,1067.928405
HLB+,0,1031.54068
HLB+,0,835.9838665
HLB+,0,864.3105734
HLB+,0,1032.54
HLB+,0,1573.18
HLB+,0,1198.47
HLB+,0,1304.13
HLB+,0,1046.93
HLB+,0,868.37
HLB+,0,986.63
HLB+,0,1034.65
HLB+,0,740.98
HLB+,1,1560.13
HLB+,1,1261.2
HLB+,1,1440.1
HLB+,1,1145.394325
HLB+,1,955.0887265
HLB+,1,884.4505593
HLB+,1,787.050918
HLB+,1,1006.558519
HLB+,1,1208.709568
HLB+,1,866.1271824
HLB+,1,1464.665931
HLB+,1,1419.329422
HLB+,1,1010.759227
HLB+,1,967.636242
HLB+,1,1927.642804
HLB+,1,832.7385259
HLB+,1,936.3426691
HLB+,1,1757.713235
HLB+,1,1717.741257
HLB+,1,1627.775949
HLB+,1,1752.337159
HLB+,1,1196.675646
HLB+,1,1063.965594
HLB+,1,1195.298036
HLB+,1,1097.472238
HLB+,1,1112.557302
HLB+,1,952.5973285
HLB+,1,1192.979526
HLB+,1,1287.575981
HLB+,1,1346.465968
HLB+,1,1349.164307
HLB+,2,1345.950227
HLB+,2,1471.965908
HLB+,2,1169.009427
HLB+,2,1462.06306
HLB+,2,1216.968812
HLB+,2,1486.095324
HLB+,2,918.0838043
HLB+,2,1031.396962
HLB+,2,760.6157057
HLB+,2,773.7372149
HLB+,2,1256.016812
HLB+,2,1497.253036
HLB+,2,1643.754108
HLB+,2,1452.773046
HLB+,2,1623.913131
HLB+,2,1722.856022
HLB+,2,1039.01537
HLB+,2,906.5684606
HLB+,2,772.8254
HLB+,2,880.9901733
HLB+,2,1338.886357
HLB+,2,1642.530762
HLB+,2,1492.775373
HLB+,2,1510.659368
HLB+,2,1123.158853
HLB+,2,1122.665548
HLB+,2,1364.548447
HLB+,2,2265.542476
HLB+,2,1437.930909
HLB-,0,709.5695956
HLB-,0,677.0836518
HLB-,0,721.915131
HLB-,0,666.8965267
HLB-,0,986.0869746
HLB-,0,838.473459
HLB-,0,797.0734733
HLB-,0,727.9127299
HLB-,0,589.2638298
HLB-,0,578.9644269
HLB-,0,1110.955203
HLB-,0,844.6604024
HLB-,0,772.677317
HLB-,0,693.0369677
HLB-,0,780.9594573
HLB-,0,800.2230691
HLB-,0,616.9392899
HLB-,0,876.4123836
HLB-,0,846.4549799
HLB-,0,955.5715133
HLB-,0,624.3389969
HLB-,0,788.812009
HLB-,0,989.9506335
HLB-,0,974.358427
HLB-,0,797.610286
HLB-,0,937.3182102
HLB-,0,754.8519347
HLB-,0,797.0116092
HLB-,1,604.8357067
HLB-,1,523.1538648
HLB-,1,619.4301098
HLB-,1,663.2265632
HLB-,1,654.1219566
HLB-,1,762.0509255
HLB-,1,709.352156
HLB-,1,684.4070377
HLB-,1,725.0467638
HLB-,1,577.4489108
HLB-,1,685.6903883
HLB-,1,744.7117786
HLB-,1,819.9547052
HLB-,1,1266.084585
HLB-,1,867.8411401
HLB-,1,1282.905393
HLB-,1,683.5537595
HLB-,1,678.5191248
HLB-,1,709.4502422
HLB-,1,882.8715126
HLB-,1,890.9921128
HLB-,1,894.7523652
HLB-,1,668.8210365
HLB-,1,1123.806687
HLB-,1,647.5317751
HLB-,1,864.1501974
HLB-,1,580.3639815
HLB-,1,883.0768969
HLB-,1,994.5713452
HLB-,1,649.86769
HLB-,1,795.9667505
HLB-,2,814.3991463
HLB-,2,1243.109533
HLB-,2,731.2283104
HLB-,2,812.1898685
HLB-,2,757.420762
HLB-,2,1214.673021
HLB-,2,911.164235
HLB-,2,692.0877777
HLB-,2,888.2242379
HLB-,2,657.2728582
HLB-,2,782.3090723
HLB-,2,680.5749295
HLB-,2,922.0430978
HLB-,2,609.4794693
HLB-,2,728.2091487
HLB-,2,847.4074293
HLB-,2,651.3571115
HLB-,2,938.541901
HLB-,2,1062.617778
HLB-,2,866.0851653
HLB-,2,1105.304496
HLB-,2,1009.143845
HLB-,2,799.7746131
HLB-,2,1008.423808
HLB-,2,972.8257456
HLB-,2,1200.215861
HLB-,2,1113.741893
HLB-,2,795.7013484
HLB-,2,950.8691197
HLB-,2,1186.522286
HLB-,2,1142.140008
HLB-,2,1092.365961
HLB-,2,874.4150944
